step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
99,0.999876,0.13295,0.869885,3.4643,0.141533,0.409447,0.7756,0.77523,0.999964,1.0,0.8603,0.1673,0.7527,1.0,0.98519
100,0.999825,0.08021,0.871465,3.4642,0.14153,0.345819,0.7896,0.77561,1.009962,1.0,0.862,0.2024,0.738,1.0,0.986
101,0.999922,0.017845,0.873024,3.4644,0.141537,0.249617,0.785,0.77576,1.019962,1.0,0.8637,0.1854,0.7398,1.0,0.98305
102,0.999942,0.000863,0.874563,3.4645,0.14154,0.1918,0.7752,0.77558,1.029961,1.0,0.8653,0.1582,0.7501,1.0,0.98202
103,0.999908,0.0008,0.876081,3.4644,0.141539,0.16889,0.7657,0.77528,1.03996,1.0,0.8669,0.1351,0.7623,1.0,0.98111
104,0.999937,5.9e-05,0.877579,3.4645,0.141544,0.168001,0.7572,0.77488,1.049959,1.0,0.8685,0.1149,0.7727,1.0,0.98112
105,0.999867,0.003056,0.879058,3.4642,0.14153,0.180655,0.7512,0.77432,1.059958,1.0,0.8701,0.0999,0.7797,1.0,0.98073
106,0.999865,0.003472,0.880517,3.464,0.141521,0.196257,0.7469,0.77358,1.069957,1.0,0.8717,0.0876,0.7834,1.0,0.98178
107,0.999215,0.000803,0.881957,3.4644,0.141539,0.198664,0.7427,0.77292,1.079949,1.0,0.8733,0.075,0.7861,1.0,0.98281
108,0.999936,0.002328,0.883378,3.464,0.141522,0.184041,0.7389,0.77246,1.089948,1.0,0.8749,0.0655,0.7906,1.0,0.98216
109,0.998212,0.006643,0.884781,3.4642,0.141532,0.166666,0.7358,0.77231,1.09993,1.0,0.8766,0.0607,0.7972,1.0,0.98152
110,0.999715,0.002224,0.886165,3.4638,0.141514,0.159427,0.7319,0.77235,1.109928,1.0,0.8781,0.0533,0.8038,1.0,0.97998
111,0.99993,0.005748,0.887531,3.4635,0.141502,0.171053,0.73,0.77254,1.119927,1.0,0.8795,0.0496,0.8076,1.0,0.98162
112,0.999919,0.00328,0.88888,3.4632,0.141487,0.21048,0.7298,0.77294,1.129926,1.0,0.8809,0.0446,0.8049,1.0,0.98168
113,0.999833,0.00223,0.890211,3.4633,0.141493,0.294143,0.7333,0.77367,1.139924,1.0,0.8823,0.0396,0.79,1.0,0.98265
114,0.999918,0.001999,0.891524,3.4636,0.141506,0.405793,0.7415,0.7745,1.149924,1.0,0.8837,0.0352,0.7607,1.0,0.97957
115,0.999898,0.011254,0.892821,3.4629,0.141475,0.404619,0.7504,0.7753,1.159923,1.0,0.8851,0.0383,0.7359,1.0,0.98287
116,0.999919,0.007173,0.894101,3.4637,0.14151,0.283069,0.7516,0.77582,1.169922,1.0,0.8865,0.038,0.7331,1.0,0.98362
117,0.999864,0.001947,0.895365,3.4634,0.141499,0.189337,0.7472,0.77531,1.17992,1.0,0.8878,0.0337,0.7447,1.0,0.98163
118,0.999885,0.004355,0.896612,3.4639,0.141518,0.143463,0.7419,0.77502,1.189919,1.0,0.8891,0.0319,0.7615,1.0,0.98085
119,0.999352,0.001457,0.897843,3.4644,0.141537,0.126564,0.736,0.7745,1.199913,1.0,0.8905,0.0282,0.7784,1.0,0.98078
